Producto,Marca,Precio,Link,Tienda
"MacBook Air de 13.6"", Chip M3, 24GB memoria unificada, disco sólido de 512GB, modelo MC8Q4E/A , Azul medianoche",APPLE,73990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-de-13-6-chip-m3-24gb-memoria-unificada-disco-solido-de-512gb-modelo-mc8q4e-a-azul-medianoche,Hiraoka
"MacBook Air de 13.6"", Chip M3, 24GB memoria unificada, disco sólido de 512GB, modelo MC8M4E/A, Gris espacial",APPLE,74990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-de-13-6-chip-m3-24gb-memoria-unificada-disco-solido-de-512gb-modelo-mc8m4e-a-gris-espacial,Hiraoka
"MacBook Air de 13.6"", Chip M3, 16GB memoria unificada, disco sólido de 256GB, modelo MC8K4E/A, Azul medianoche",APPLE,53990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-de-13-6-chip-m3-16gb-memoria-unificada-disco-solido-de-256gb-modelo-mc8k4e-a-azul-medianoche,Hiraoka
"MacBook Air de 13.6"", Chip M3, 16GB memoria unificada, disco sólido de 256GB, modelo MC8J4E/A, Blanco estelar",APPLE,53990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-de-13-6-chip-m3-16gb-memoria-unificada-disco-solido-de-256gb-modelo-mc8j4e-a-blanco-estelar,Hiraoka
"MacBook Air de 13.6"", Chip M3, 16GB memoria unificada, disco sólido de 256GB, modelo MC8G4E/A, Gris espacial",APPLE,53990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-de-13-6-chip-m3-16gb-memoria-unificada-disco-solido-de-256gb-modelo-mc8g4e-a-gris-espacial,Hiraoka
"Laptop Gamer Lenovo LOQ de 15.6"", modelo 83JC005TLM, AMD Ryzen 7 7435HS, NVIDIA GeForce RTX 4050, 12GB RAM, disco sólido de 512GB",LENOVO,38990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-lenovo-loq-de-15-6-modelo-83jc005tlm-amd-ryzen-7-7435hs-nvidia-geforce-rtx-4050-12gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop 2 en 1 Lenovo Yoga 7 de 14"", AMD Ryzen 7 8840HS, 16GB RAM, disco sólido de 1TB, modelo 83DK009GLM",LENOVO,42990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-2-en-1-lenovo-yoga-7-de-14-amd-ryzen-7-8840hs-16gb-ram-disco-solido-de-1tb-modelo-83dk009glm,Hiraoka
"Laptop Acer Swift 14 AI de 14"", Copilot+ PC, Pantalla táctil, Intel Core Ultra 5 226V (Serie 2), 8 núcleos, 16GB RAM, disco sólido de 512GB, modelo SF14-51T-52X1",ACER,51990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-swift-14-ai-de-14-copilot-pc-pantalla-tactil-intel-core-ultra-5-226v-serie-2-10-nucleos-16gb-ram-disco-solido-de-512gb-modelo-sf14-51t-52x1,Hiraoka
"Laptop Gamer Acer Nitro V de 15.6"", Intel Core i9-13900H (13va Gen), 14 núcleos, NVIDIA GeForce RTX 4060, 32GB RAM, disco sólido de 512GB, modelo ANV15-51-94LE",ACER,57990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-nitro-v-de-15-6-intel-core-i9-13900h-13va-gen-14-nucleos-nvidia-geforce-rtx-4060-32gb-ram-disco-solido-de-512gb-modelo-anv15-51-94le,Hiraoka
"Laptop 2 en 1 Lenovo Ideapad 5 de 14"", modelo 83DR005ULM, Pantalla touch, AMD Ryzen 7 8845HS, 16GB RAM, disco sólido de 512GB",LENOVO,33990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-2-en-1-lenovo-ideapad-5-de-15-6-pantalla-touch-amd-ryzen-7-8845hs-16gb-ram-disco-solido-de-512gb,Hiraoka
